Info: PJM Database Monitor initiated on 1/16/2017 @5:56 PM


Info: Next Scheduled Run at 01/16/2017 05:56:12 PM (01/16/2017 10:56:12 UTC)
Info: Performing DB update...
Info: Fetching the list of sources from the RTI database.
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=253644081013001
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=9.24E+13
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=344203077182001
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=422128121530600
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=301124081395901
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=394634105465800
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=442727110064501
Info: Downloading File 1 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=15036000
Info: Downloading File 2 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=253357080594100
Info: Downloading File 2 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=13213000
Info: Downloading File 3 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=253047080555600
Info: Downloading File 4 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=394533079581501
Info: Downloading File 5 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=422042121513100
Info: Downloading File 6 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=9.24E+13
Info: Downloading File 7 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=301104089253400
Info: Downloading File 8 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=13212500
Info: Downloading File 9 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=394337079544201
Info: Downloading File 10 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=421935121530600
Info: Downloading File 11 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=9.24E+13
Info: Downloading File 12 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=15011894
Info: Downloading File 13 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=442726110064101
Info: Downloading File 14 out of 2444 from http://nwis.waterdata.usgs.gov/nwis/dv?cd_00095=1&format=rdb&site_no=344139077211207
